date,company,ticker,action_type,ratio,action_details
2025-07-15,United,UNC,Stock Split,10 for 1,United (UNC) performed a 10 for 1 stock split. Holders will now hold 10 shares of United (UNC) per 1 share previously held.
2025-07-15,Liberty Broadband Corp,LBRDK,Spinoff,,"Liberty Broadband Corp (Series C) (LBRDK) performed a spinoff. Holders will receive 0.2 shares of GCI Liberty Inc. (Series C) (GLBK.V) per 1 LBRDK share held as of record date of July 15, 2025."
2025-07-15,Liberty Broadband Corporation,LBRDA,Spinoff,,"Liberty Broadband Corporation (LBRDA) performed a spinoff. Holders will receive 0.2 shares of GCI Liberty Inc. (Series A) (GLBA.V) per 1 LBRDA share held as of record date of July 15, 2025."
2025-07-14,Fusion Fuel Green Ltd,HTOO,Consolidation,1 for 35,Fusion Fuel Green Ltd (Class A) (HTOO) performed a 1 for 35 consolidation. Holders will now hold 1 share of Fusion Fuel Green Ltd (Class A) (HTOO) for every 35 shares previously held.
2025-07-14,Beyond Air Inc,XAIR,Consolidation,1 for 20,Beyond Air Inc (XAIR) performed a 1 for 20 consolidation. Holders will now hold 1 share of Beyond Air Inc (XAIR) for every 20 shares previously held.
2025-07-14,Passage Bio Inc,PASG,Consolidation,1 for 20,Passage Bio Inc (PASG) performed a 1 for 20 consolidation. Holders will now hold 1 share of Passage Bio Inc (PASG) for every 20 shares previously held.
2025-07-14,Nextcure Inc,NXTC,Consolidation,1 for 12,Nextcure Inc (NXTC) performed a 1 for 12 consolidation. Holders will now hold 1 share of Nextcure Inc (NXTC) for every 12 shares previously held.
2025-07-14,Lazydays Holdings Inc,GORV,Consolidation,1 for 30,Lazydays Holdings Inc. (GORV) performed a 1 for 30 consolidation. Holders will now hold 1 share of Lazydays Holdings Inc. (GORV) for every 30 shares previously held.
2025-07-14,Managed Portfolio Series - Tortoise Global Water ESG Fund,TBLU,Merger,,Managed Portfolio Series - Tortoise Global Water ESG Fund (TBLU) performed a merger. Details of the event are still to be determined.
2025-07-14,Empire Petroleum Corporation,EP,Rights Distribution,,"Empire Petroleum Corporation (EP) performed a rights distribution. Holders will receive 1 right per share held as of record date July 14, 2025."
2025-07-11,Boqii Holding Limited,BQ,Reorganization,,Boqii Holding Limited (BQ) performed a reorganization. Holders will receive new 0.9375 share of Boqii Holding Limited (BQ) per 1 old shares held.
2025-07-11,Hawthorn Resources Corp,HWTN,Consolidation,0.75 for 1,Hawthorn Resources Corp (HWTN) performed a 0.75 for 1 consolidation and name change. Holders will now hold 0.75 share of Prince Silver Corp. (PRNC) for every 1 shares previously held.
2025-07-11,Schnitzer Steel Industries Inc,RDUS,Merger,,Schnitzer Steel Industries Inc. (RDUS) performed a merger. Details of the event are still to be determined.
